time_s,step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.480000,24,0.26408628,0.41482577,23.767766,0.41482577,23.767766,-0.59463078,-34.069834,-0.92391723,-52.936558,-20.62369537,-1181.650703,-14.01981258,-803.276091,1.00945655,57.837600,1.33874300,76.704324,-8.04832458,-461.135031,-8.48178101,-485.970254,-25.21230888,-1444.558891,-19.31982994,-1106.944717,101.135031,125.970254,-0.15923920,0
0.500000,25,-0.36439732,-0.57239395,-32.795758,-0.57239395,-32.795758,-0.92391723,-52.936558,-1.12594438,-64.511861,-14.01981258,-803.276091,-7.79623365,-446.691284,0.35152328,20.140800,0.55355042,31.716103,-8.48178101,-485.970254,-8.79224586,-503.758580,-19.31982994,-1106.944717,-13.37687111,-766.438258,125.970254,143.758580,-0.13695139,0
0.520000,26,-0.65793324,-1.03347909,-59.213990,-1.03347909,-59.213990,-1.12594438,-64.511861,-1.20813167,-69.220846,-7.79623365,-446.691284,-1.94408858,-111.388071,0.09246528,5.297870,0.17465258,10.006856,-8.79224586,-503.758580,-8.99711800,-515.496889,-13.37687111,-766.438258,-8.47362804,-485.503124,143.758580,155.496889,0.17645678,0
0.540000,27,-0.69532311,-1.09221101,-62.579081,-1.09221101,-62.579081,-1.20813167,-69.220846,-1.21577477,-69.658763,-1.94408858,-111.388071,0.36968088,21.181154,0.11592066,6.641765,0.12356377,7.079682,-8.99711800,-515.496889,-9.13501740,-523.397943,-8.47362804,-485.503124,-6.09718847,-349.343166,155.496889,163.397943,-0.09050047,0
0.560000,28,-0.59250462,-0.93070412,-53.325418,-0.93070412,-53.325418,-1.21577477,-69.658763,-1.19894099,-68.694259,0.36968088,21.181154,1.04621291,59.943584,0.28507066,16.333346,0.26823688,15.368841,-9.13501740,-523.397943,-9.24218369,-529.538119,-6.09718847,-349.343166,-4.99532700,-286.211154,163.397943,169.538119,0.26791257,0
0.580000,29,-0.44771484,-0.70326883,-40.294336,-0.70326883,-40.294336,-1.19894099,-68.694259,-1.15932310,-66.424321,1.04621291,59.943584,2.37844658,136.274951,0.49567217,28.399923,0.45605427,26.129985,-9.24218369,-529.538119,-9.32434464,-534.245594,-4.99532700,-286.211154,-3.70451880,-212.253292,169.538119,174.245594,0.58147836,0
0.600000,30,-0.29643992,-0.46564674,-26.679593,-0.46564674,-26.679593,-1.15932310,-66.424321,-1.08434904,-62.128623,2.37844658,136.274951,4.31162024,247.037642,0.69367635,39.744727,0.61870229,35.449030,-9.32434464,-534.245594,-9.37734222,-537.282132,-3.70451880,-212.253292,-2.20148921,-126.136040,174.245594,177.282132,0.90537590,0
0.620000,31,-0.15828082,-0.24862693,-14.245274,-0.24862693,-14.245274,-1.08434904,-62.128623,-0.96883857,-55.510361,4.31162024,247.037642,6.33531189,362.986633,0.83572210,47.883349,0.72021164,41.265087,-9.37734222,-537.282132,-9.40061092,-538.615331,-2.20148921,-126.136040,-0.75623024,-43.328801,177.282132,178.615331,1.43696558,0
0.640000,32,-0.04964897,-0.07798842,-4.468408,-0.07798842,-4.468408,-0.96883857,-55.510361,-0.81763071,-46.846789,6.33531189,362.986633,7.96480131,456.349500,0.89085015,51.041954,0.73964228,42.378381,-9.40061092,-538.615331,-9.39910698,-538.529161,-0.75623024,-43.328801,0.35944059,20.594429,178.615331,178.529161,1.65536284,0
0.660000,33,0.03806368,0.05979028,3.425731,0.05979028,3.425731,-0.81763071,-46.846789,-0.64378190,-36.885986,7.96480131,456.349500,8.83392906,506.146852,0.87742099,50.272520,0.70357218,40.311717,-9.39910698,-538.529161,-9.38153267,-537.522227,0.35944059,20.594429,1.00728631,57.713254,178.529161,177.522227,1.25985479,0
