time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.180000,9,0,36,1.56284964,2.45491862,140.656476,2.45491862,140.656476,2.97555351,170.486658,3.01289606,172.626228,8.43678570,483.392213,7.46849394,427.913182,-0.52063489,-29.830182,-0.55797744,-31.969752,-2.87609696,-164.788218,-2.97315788,-170.349399,-19.13223457,-1096.196294,-19.41219902,-1112.237075,164.788218,170.349399,0.35006744,0
0.185000,9,1,37,1.56284964,2.45491862,140.656476,2.45491862,140.656476,3.01289606,172.626228,3.04573464,174.507741,7.46849394,427.913182,6.56771374,376.302278,-0.55797744,-31.969752,-0.59081602,-33.851264,-2.97315788,-170.349399,-3.07193398,-176.008852,-19.41219902,-1112.237075,-19.75520515,-1131.889879,170.349399,176.008852,0.35006744,0
0.190000,9,2,38,1.56284964,2.45491862,140.656476,2.45491862,140.656476,3.04573464,174.507741,3.07440710,176.150551,6.56771374,376.302278,5.73449373,328.562289,-0.59081602,-33.851264,-0.61948848,-35.494075,-3.07193398,-176.008852,-3.17265630,-181.779816,-19.75520515,-1131.889879,-20.14444351,-1154.191594,176.008852,178.220184,0.35006744,0
0.195000,9,3,39,1.56284964,2.45491862,140.656476,2.45491862,140.656476,3.07440710,176.150551,3.09924769,177.573813,5.73449373,328.562289,4.96810675,284.651549,-0.61948848,-35.494075,-0.64432907,-36.917336,-3.17265630,-181.779816,-3.27548575,-187.671510,-20.14444351,-1154.191594,-20.56587029,-1178.337569,178.220184,172.328490,0.35006744,0
0.200000,10,0,40,1.17702615,1.84886837,105.932354,1.84886837,105.932354,3.09924769,177.573813,3.11253572,178.335160,4.96810675,284.651549,2.65759802,152.269150,-1.25037932,-71.641458,-1.26366735,-72.402806,-3.27548575,-187.671510,-3.38566542,-193.984339,-20.56587029,-1178.337569,-22.03594780,-1262.566806,172.328490,166.015661,-0.13657713,0
0.205000,10,1,41,1.17702615,1.84886837,105.932354,1.84886837,105.932354,3.11253572,178.335160,3.11598587,178.532839,2.65759802,152.269150,0.69002068,39.535273,-1.26366735,-72.402806,-1.26711750,-72.600485,-3.38566542,-193.984339,-3.50221086,-200.661901,-22.03594780,-1262.566806,-23.30907249,-1335.511478,166.015661,159.338099,-0.13657713,0
0.210000,10,2,42,1.17702615,1.84886837,105.932354,1.84886837,105.932354,3.11598587,178.532839,3.11115646,178.256135,0.69002068,39.535273,-0.96589816,-55.341888,-1.26711750,-72.600485,-1.26228809,-72.323780,-3.50221086,-200.661901,-3.62421942,-207.652477,-23.30907249,-1335.511478,-24.40172195,-1398.115681,159.338099,152.347523,-0.13657713,0
0.215000,10,3,43,1.17702615,1.84886837,105.932354,1.84886837,105.932354,3.11115646,178.256135,3.09945440,177.585656,-0.96589816,-55.341888,-2.34040093,-134.095096,-1.26228809,-72.323780,-1.25058603,-71.653302,-3.62421942,-207.652477,-3.75092220,-214.912012,-24.40172195,-1398.115681,-25.34053802,-1451.905879,152.347523,145.087988,-0.13657713,0
0.220000,11,0,44,1.06636691,1.67504525,95.973023,1.67504525,95.973023,3.09945440,177.585656,3.07505751,176.187817,-2.34040093,-134.095096,-4.87939978,-279.569014,-1.42440915,-81.612633,-1.40001225,-80.214793,-3.75092220,-214.912012,-3.88544250,-222.619457,-25.34053802,-1451.905879,-26.90404510,-1541.488236,145.087988,137.380543,0.29889518,0
0.225000,11,1,45,1.06636691,1.67504525,95.973023,1.67504525,95.973023,3.07505751,176.187817,3.04032516,174.197800,-4.87939978,-279.569014,-6.94645929,-398.002800,-1.40001225,-80.214793,-1.36527991,-78.224777,-3.88544250,-222.619457,-4.02644873,-230.698518,-26.90404510,-1541.488236,-28.20123863,-1615.811951,137.380543,129.301482,0.29889518,0
0.230000,11,2,46,1.06636691,1.67504525,95.973023,1.67504525,95.973023,3.04032516,174.197800,2.99735355,171.735708,-6.94645929,-398.002800,-8.59434319,-492.419592,-1.36527991,-78.224777,-1.32230830,-75.762685,-4.02644873,-230.698518,-4.17291784,-239.090581,-28.20123863,-1615.811951,-29.29382706,-1678.412656,129.301482,120.909419,0.29889518,0
0.235000,11,3,47,1.06636691,1.67504525,95.973023,1.67504525,95.973023,2.99735355,171.735708,2.94798923,168.907341,-8.59434319,-492.419592,-9.87285995,-565.673207,-1.32230830,-75.762685,-1.27294397,-72.934317,-4.17291784,-239.090581,-4.32402134,-247.748173,-29.29382706,-1678.412656,-30.22067451,-1731.517104,120.909419,112.251827,0.29889518,0
0.240000,12,0,48,1.07681072,1.69145036,96.912967,1.69145036,96.912967,2.94798923,168.907341,2.89182401,165.689311,-9.87285995,-565.673207,-11.23306465,-643.607196,-1.25653887,-71.994374,-1.20037365,-68.776344,-4.32402134,-247.748173,-4.47951174,-256.657117,-30.22067451,-1731.517104,-31.09811783,-1781.790902,112.251827,103.342883,0.22073081,0
0.245000,12,1,49,1.07681072,1.69145036,96.912967,1.69145036,96.912967,2.89182401,165.689311,2.83060741,162.181858,-11.23306465,-643.607196,-12.24333858,-701.491628,-1.20037365,-68.776344,-1.13915706,-65.268892,-4.47951174,-256.657117,-4.63846636,-265.764546,-31.09811783,-1781.790902,-31.79093742,-1821.486541,103.342883,94.235454,0.22073081,0
0.250000,12,2,50,1.07681072,1.69145036,96.912967,1.69145036,96.912967,2.83060741,162.181858,2.76585460,158.471795,-12.24333858,-701.491628,-12.95056152,-742.012518,-1.13915706,-65.268892,-1.07440424,-61.558828,-4.63846636,-265.764546,-4.79996634,-275.017813,-31.79093742,-1821.486541,-32.29995728,-1850.651230,94.235454,84.982187,0.22073081,0
0.255000,12,3,51,1.07681072,1.69145036,96.912967,1.69145036,96.912967,2.76585460,158.471795,2.69886923,154.633816,-12.95056152,-742.012518,-13.39708328,-767.596330,-1.07440424,-61.558828,-1.00741887,-57.720850,-4.79996634,-275.017813,-4.96312332,-284.366020,-32.29995728,-1850.651230,-32.63144684,-1869.644183,84.982187,75.633980,0.22073081,0
0.260000,13,0,52,-0.39511976,-0.62065268,-35.560779,-0.62065268,-35.560779,2.69886923,154.633816,2.63095665,150.742712,-13.39708328,-767.596330,-13.58251381,-778.220716,-3.31952190,-190.194595,-3.25160933,-186.303491,-4.96312332,-284.366020,-5.12718534,-293.766081,-32.63144684,-1869.644183,-32.81244278,-1880.014487,75.633980,66.233919,0.11714578,0
0.265000,13,1,53,-0.39511976,-0.62065268,-35.560779,-0.62065268,-35.560779,2.63095665,150.742712,2.56303239,146.850939,-13.58251381,-778.220716,-13.58484077,-778.354042,-3.25160933,-186.303491,-3.18368506,-182.411717,-5.12718534,-293.766081,-5.29157782,-303.185076,-32.81244278,-1880.014487,-32.87850189,-1883.799395,66.233919,56.814924,0.11714578,0
