time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.110000,5,2,22,-1.63187194,-2.56333852,-146.868479,-2.56333852,-146.868479,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.36443585,20.880636,0.28221595,16.169783,-13.23733044,-758.443166,-16.44397736,-942.170501,-2.92777437,-167.749115,-2.84555447,-163.038262,-0.19707507,-11.291570,-0.14144164,-8.104009,9.18524170,526.275583,11.12668705,637.512208,11.291570,8.104009,0.07361931,0
0.115000,5,3,23,-1.63187194,-2.56333852,-146.868479,-2.56333852,-146.868479,-10.00000000,-10.00000000,-10.00000000,-10.00000000,0.28221595,16.169783,0.18423565,10.555925,-16.44397736,-942.170501,-19.59606171,-1122.771631,-2.84555447,-163.038262,-2.74757417,-157.424404,-0.14144164,-8.104009,-0.07647201,-4.381523,11.12668705,637.512208,12.99392700,744.497177,8.104009,4.381523,0.07361931,0
0.120000,6,0,24,-0.00355077,-0.00557753,-0.319569,-0.00557753,-0.319569,-10.00000000,1.42090392,-10.00000000,1.42090392,0.18423565,10.555925,0.09017038,5.166382,-19.59606171,-1122.771631,-18.81305504,-1077.908653,-0.18981318,-10.875494,-0.09574791,-5.485951,-0.07647201,-4.381523,-0.01476798,-0.846143,12.99392700,744.497177,12.34080601,707.076100,4.381523,0.846143,0.08596818,0
0.125000,6,1,25,-0.00355077,-0.00557753,-0.319569,-0.00557753,-0.319569,1.42090392,2.05597520,1.42090392,2.05597520,0.09017038,5.166382,0.00099797,0.057179,-18.81305504,-1077.908653,-17.83448219,-1021.840559,-0.09574791,-5.485951,-0.00657550,-0.376748,-0.01476798,-0.846143,0.04341353,2.487412,12.34080601,707.076100,11.63630199,666.710993,0.846143,2.487412,0.08596818,0
0.130000,6,2,26,-0.00355077,-0.00557753,-0.319569,-0.00557753,-0.319569,2.05597520,2.62256837,2.05597520,2.62256837,0.00099797,0.057179,-0.08243280,-4.723051,-17.83448219,-1021.840559,-16.68615341,-956.046167,-0.00657550,-0.376748,0.07685527,4.403482,0.04341353,2.487412,0.09780699,5.603928,11.63630199,666.710993,10.87869263,623.303174,2.487412,5.603928,0.08596818,0
0.135000,6,3,27,-0.00355077,-0.00557753,-0.319569,-0.00557753,-0.319569,2.62256837,3.11776519,2.62256837,3.11776519,-0.08243280,-4.723051,-0.15940492,-9.133229,-16.68615341,-956.046167,-15.39442444,-882.035548,0.07685527,4.403482,0.15382739,8.813660,0.09780699,5.603928,0.14812772,8.487093,10.87869263,623.303174,10.06414604,576.633093,5.603928,8.487093,0.08596818,0
0.140000,7,0,28,0.45000154,0.70686078,40.500139,0.70686078,40.500139,3.53978276,9.23928928,3.53978276,9.23928928,-0.15940492,-9.133229,-0.22003037,-12.606811,-15.39442444,-882.035548,-12.12508869,-694.716408,0.86626570,49.633369,0.92689115,53.106951,0.14812772,8.487093,0.18814665,10.780009,10.06414604,576.633093,8.00378704,458.583218,8.487093,10.780009,0.06158789,0
0.145000,7,1,29,0.45000154,0.70686078,40.500139,0.70686078,40.500139,9.23928928,9.23389244,9.23928928,9.23389244,-0.22003037,-12.606811,-0.26458758,-15.159752,-12.12508869,-694.716408,-8.91144562,-510.588223,0.92689115,53.106951,0.97144836,55.659891,0.18814665,10.780009,0.21787284,12.483194,8.00378704,458.583218,5.94523764,340.637025,10.780009,12.483194,0.06158789,0
0.150000,7,2,30,0.45000154,0.70686078,40.500139,0.70686078,40.500139,9.23389244,9.10830402,9.23389244,9.10830402,-0.26458758,-15.159752,-0.29354703,-16.819006,-8.91144562,-510.588223,-5.79188871,-331.850779,0.97144836,55.659891,1.00040781,57.319146,0.21787284,12.483194,0.23739584,13.601780,5.94523764,340.637025,3.90459824,223.717000,12.483194,13.601780,0.06158789,0
0.155000,7,3,31,0.45000154,0.70686078,40.500139,0.70686078,40.500139,9.10830402,8.87204552,9.10830402,8.87204552,-0.29354703,-16.819006,-0.30755162,-17.621410,-5.79188871,-331.850779,-2.80091953,-160.480868,1.00040781,57.319146,1.01441240,58.121549,0.23739584,13.601780,0.24698061,14.150946,3.90459824,223.717000,1.91695440,109.833397,13.601780,14.150946,0.06158789,0
