time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s,policy_action,policy_updated,source_time_s,replay_motor_angle_deg,real_pole_angle_unwrapped_deg,sim_pole_angle_unwrapped_deg,real_pole_angle_wrapped_deg,sim_pole_angle_wrapped_deg,sim_pole_vel_deg_s,pole_angle_error_deg
6.2843,93.813,116.084,-198.08,-0.253,103.01,-786.037,4.640769,0,6.3907,116.02046249991801,-976.99,1925.4788700062963,103.00999999999999,125.47887000629635,73.94884185871562,22.468870006296356
6.2903,93.813,114.589,-244.252,-1.117,97.73,-841.482,4.640769,0,6.3967,114.44153749980936,-982.2699999999999,1925.9826333359156,97.73000000000013,125.98263333591558,98.64424030656738,28.252633335915448
6.2954,93.813,110.369,-317.205,-0.428,91.76,-920.829,3.597028,1,6.4018,110.71652941160875,-988.24,1926.7126694823717,91.75999999999999,126.71266948237167,160.31936429774223,34.952669482371675
6.3003,74.346,110.369,-317.205,-0.428,85.78,-957.442,3.597028,0,6.4067,110.26026799985918,-994.22,1927.6310323246169,85.77999999999997,127.63103232461685,196.30163191459062,41.85103232461688
6.3053,74.346,108.237,-319.051,0.029,79.45,-1007.385,3.597028,0,6.4117,107.96174950008577,-1000.5500000000001,1928.740923562377,79.44999999999993,128.74092356237702,240.66770242329426,49.29092356237709
6.3105,74.346,102.874,-465.88,-1.175,73.48,-1001.691,3.597028,0,6.4169,103.26075480793625,-1006.5199999999999,1930.328685616936,73.48000000000013,130.3286856169359,333.2021349387501,56.84868561693577
6.3155,74.346,102.874,-465.88,-1.175,73.48,-1001.691,2.488138,1,6.4219,102.62672959199293,-1006.5199999999999,1932.2273196492533,73.48000000000013,132.22731964925333,396.8388159967866,58.7473196492532
6.3204,49.763,99.643,-495.43,-0.66,66.8,-1010.924,2.488138,0,6.4268,99.64299608163263,-1013.2000000000002,1934.3782238012996,66.79999999999984,134.37822380129955,461.84764309860896,67.57822380129971
6.3254,49.763,96.346,-495.43,-0.286,60.47,-1084.629,2.488138,0,6.4318,96.3083765714456,-1019.5299999999999,1937.0789212628226,60.47000000000014,137.07892126282263,575.263916346313,76.60892126282249
6.3303,49.763,92.676,-591.469,-2.088,54.14,-1072.409,2.488138,0,6.4367,92.42518979559105,-1025.86,1940.403343991472,54.1400000000001,140.40334399147196,731.8528245732633,86.26334399147186
6.3354,49.763,83.84,-699.512,-0.469,48.16,-1034.78,1.105177,1,6.4418,84.18001058808127,-1031.84,1944.9980312681885,48.16000000000008,144.99803126818847,977.1906418001765,96.83803126818839
6.3404,22.104,79.225,-696.742,-0.095,42.54,-985.502,1.105177,0,6.4468,79.21599076922274,-1037.4599999999998,1950.781718946255,42.54000000000019,150.78171894625507,1232.0673629909973,108.24171894625488
6.3456,22.104,74.279,-784.469,-1.814,36.91,-955.092,1.105177,0,6.452,74.20774369891802,-1043.0900000000001,1958.0779462876317,36.909999999999854,158.07794628763168,1484.1415168088818,121.16794628763182
6.3503,22.104,68.762,-849.111,-1.017,36.91,-955.092,1.105177,0,6.4567,68.76902659575394,-1043.0900000000001,1965.967280548927,36.909999999999854,165.96728054892696,1762.8354479255463,129.0572805489271
6.3554,22.104,62.916,-871.274,-0.486,31.99,-893.216,0.34842,1,6.4618,62.90628729412201,-1048.01,1976.2117779929254,31.99000000000001,176.21177799292536,2116.803616805765,144.22177799292535
6.3604,0.444,57.069,-875.891,0.087,27.07,-856.574,0.34842,0,6.4668,57.06061599999248,-1052.9299999999998,1988.1139704428529,27.070000000000164,188.11397044285286,2499.123019908157,161.0439704428527
6.3654,0.444,51.091,-902.671,-0.834,23.55,-721.819,0.34842,0,6.4718,51.07436800000759,-1056.45,2002.0571516568177,23.549999999999955,202.05715165681772,2912.821283008118,178.50715165681777
6.3704,0.444,44.915,-926.681,-0.295,19.34,-707.212,0.34842,0,6.4768,45.310264000355424,-1060.66,2017.914957407435,19.339999999999918,217.91495740743494,3266.734405731451,-161.42504259256498
6.3764,0.444,44.915,-926.681,-0.295,15.82,-648.47,1.162799,1,6.4828,44.07659999924472,-1064.18,2038.7706310750561,15.819999999999936,238.77063107505614,3597.3456775271757,-137.0493689249438
6.3814,-15.215,31.815,-877.738,0.909,15.82,-648.47,1.162799,0,6.4878,32.91539999949587,-1064.18,2057.806515570386,15.819999999999936,257.8065155703862,3877.9396291608023,-118.01348442961375
6.3863,-15.215,31.815,-877.738,0.909,12.66,-584.102,1.162799,0,6.4927,31.241349999241613,-1067.34,2077.1844194384526,12.660000000000082,277.18441943845255,3970.2587747454327,-95.47558056154753
6.3914,-15.215,20.342,-842.647,0.12,9.14,-592.092,1.162799,0,6.4978,20.827103293895036,-1070.8600000000001,2097.1342115974076,9.139999999999873,297.13421159740756,3860.115164409203,-72.00578840259232
6.3964,-15.215,14.869,-809.403,0.751,5.62,-589.276,1.877692,1,6.5028,14.890120000019095,-1074.38,2115.3884648203802,5.619999999999891,315.38846482038025,3556.200314961589,-50.23153517961964
6.4014,-24.874,9.726,-743.838,0.951,2.11,-586.611,1.877692,0,6.5078,9.755483999986515,-1077.89,2132.1476823933012,2.1099999999999,332.14768239330124,3263.1802428045626,-29.96231760669866
